"FacilityId","ProduceDate","ShiftDefinitionShift","SortMold","SortOrderList","ZZSTYLCODE","ZZGENDER","ZZPARTNO","ZZATCOLR","ZZCOLORCODE","ProductSize","MoldNo","MoldInventory","SumBodySizeNeed","SumRequiredUpperMoldQuantity","SteerRequiredUpperMoldQuantity","ActualRequiredUpperMoldQuantity"
2210030000000000001,"20250602","6330_VNbc_3rdShift",106,"110,209",N,W,H0001,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,UK_4,"66331",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",107,"111,259",N,M,H0001,DASH GREY S20/90%DASH GREY S20,ADAN/90%ADAN,UK_11,"64986",2.00000000,18.00000000,2.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",108,"114",N,W,H0001,TECH INDIGO S20,ADAM,UK_13-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",109,"115,378",NA,W,H0001,OFF WHITE/GUM5,"08S1/27F0",UK_6,"19383",13.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",110,"116",N,W,H0001,FTWR WHITE/75%FTWR WHITE,"01F7/75%01F7",UK_9-,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",111,"117,399",N,M,H0001,CORE BLACK/GREY THREE F17/COLLEGIATE GOLD,A0QM/AA2T/06F0,UK_8-,"61023",4.00000000,166.00000000,9.00000000,8.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",112,"118",NA,W,H0001,OFF WHITE/GUM5,"08S1/27F0",UK_7-,"19383",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",113,"119",NA,W,H0001,IVORY S24/CORE BLACK,AF42/A0QM,UK_9,"19383",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",114,"120,205",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_10-K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",115,"121",N,M,H0001,SOLAR RED/CORE BLACK,"088A/A0QM",UK_7-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",116,"122",N,M,H0001,CORE BLACK,A0QM,UK_7,"55847",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",117,"123",N,M,H0001,CORE BLACK,A0QM,UK_8-,"64546",1.00000000,180.00000000,6.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",118,"124",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_12-,"59056",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",119,"125,359",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_4,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",120,"126,251",N,W,H0001,TECH INDIGO S20,ADAM,UK_4,"66680",1.00000000,85.00000000,5.00000000,2.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",121,"128,464,468",N,M,H0001,FTWR WHITE,"01F7",UK_7-,"64699",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",122,"129",NA,W,H0001,IVORY S24/CORE BLACK,AF42/A0QM,UK_7,"19383",4.00000000,1169.00000000,35.00000000,4.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",123,"130",N,W,H0001,"80%GUM 2","80%18F0",UK_4,"05344",2.00000000,646.00000000,19.00000000,2.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",124,"131,148",N,U,H0001,JET BLACK/MEADOW MIST,"19-0303TPG/12-0106TPG",EU_37,PVN-6004,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",125,"132,447",N,M,H0001,BLACK/ASH,BLK/A2JA,UK_7,"03303",8.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",126,"133",N,K,H0001,AURORA BLACK S24/AMBER TINT S20/POWER RED,AF4N/ADBB/31F0,UK_6-,"35255-1",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",127,"134,197",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_11K,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",128,"135",N,W,H0001,"80%GUM 5","80%27F0",UK_3-,"05344",1.00000000,6.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",129,"136,220",N,W,H0001,TECH INDIGO S20,ADAM,UK_11-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",130,"137",N,M,H0001,CORE BLACK/25%CORE BLACK,A0QM/25%A0QM,UK_11-,"64986",2.00000000,1931.00000000,59.00000000,2.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",131,"138",N,M,H0001,DASH GREY S20/90%DASH GREY S20,ADAN/90%ADAN,UK_9-,"64986",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",132,"139",N,M,H0001,CORE BLACK/75%CORE BLACK,A0QM/75%A0QM,UK_10-,"64986",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",133,"140,373,461",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_5,"06819",2.00000000,63.00000000,7.00000000,6.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",134,"142",N,W,H0001,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,UK_7,"66331",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",135,"143",N,W,H0001,FTWR WHITE/90%FTWR WHITE,"01F7/90%01F7",UK_4-,"64986",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",136,"145,310",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_11,"59056",1.00000000,167.00000000,8.00000000,2.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",137,"146",N,W,H0001,LUCID PINK F23/LUCID LEMON F23,AEYV/AEWQ,UK_5,"64546",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",138,"147",N,M,H0001,CORE BLACK/CARBON S18/COLLEGIATE GOLD,A0QM/AAGG/06F0,UK_8,"66331",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",139,"149",N,W,H0001,FTWR WHITE/GUM3,"01F7/19F0",UK_6-,"19383",8.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",140,"150",N,M,H0001,LUCID LEMON F23/50%LUCID LEMON F23,AEWQ/50%AEWQ,UK_6,"64986",3.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",141,"151,278,444",N,M,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_10-,"66331",2.00000000,139.00000000,7.00000000,6.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",142,"152",NA,W,H0001,IVORY S24/CORE BLACK,AF42/A0QM,UK_4-,"19383",7.00000000,2223.00000000,65.00000000,7.00000000,7.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",143,"153,445,480",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_2-,"37610",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",144,"154",RIGHT FOO,W,H0001,CORE BLACK,A0QM,UK_2-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",145,"155",N,W,H0001,CRYSTAL WHITE S16,A8L5,UK_3-,"64546",1.00000000,111.00000000,4.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",146,"158",N,M,H0001,LUCID LEMON F23/50%LUCID LEMON F23,AEWQ/50%AEWQ,UK_9-,"64986",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",147,"160",N,W,H0001,FTWR WHITE/90%FTWR WHITE,"01F7/90%01F7",UK_5-,"64986",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",148,"161",RIGHT FOO,W,H0001,CORE BLACK,A0QM,UK_11-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",149,"162",N,W,H0001,LUCID LEMON F23/75%LUCID LEMON F23,AEWQ/75%AEWQ,UK_6,"64986",3.00000000,86.00000000,3.00000000,3.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",150,"163",N,W,H0001,TECH INDIGO S20,ADAM,UK_7,"66680",1.00000000,63.00000000,3.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",151,"164",N,W,H0001,"80%GUM 2","80%18F0",UK_5-,"05344",3.00000000,282.00000000,11.00000000,3.00000000,3.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",152,"165,248",N,M,H0001,CORE BLACK/GREY THREE F17/COLLEGIATE GOLD,A0QM/AA2T/06F0,UK_10-,"61023",2.00000000,52.00000000,5.00000000,4.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",153,"166",N,W,H0001,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,UK_8-,"66331",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",154,"167",N,M,H0001,CORE BLACK/BOLD GOLD,A0QM/005A,UK_4-,"55844",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",155,"168",N,W,H0001,GUM4,"26F0",UK_6,"05344",2.00000000,678.00000000,21.00000000,2.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",156,"169",N,W,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_7,"66331",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",157,"170,293,418",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_5,"37610",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",158,"171",N,W,H0001,TECH INDIGO S20,ADAM,UK_10,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",159,"172,415",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_8,"59056",1.00000000,334.00000000,13.00000000,2.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",160,"173",N,W,H0001,LUCID LEMON F23/75%LUCID LEMON F23,AEWQ/75%AEWQ,UK_8,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",161,"174,281",N,M,H0001,FTWR WHITE/75%FTWR WHITE,"01F7/75%01F7",UK_11,"64986",2.00000000,173.00000000,6.00000000,4.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",162,"175",N,M,H0001,COBALT BLUE F24/75%COBALT BLUE F24,AFAG/75%AFAG,UK_4-,"64986",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",163,"176",N,W,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_5-,"66331",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",164,"177",N,J,H0001,CORE BLACK/GREY TWO F17,A0QM/AA2S,UK_3-,"70187",1.00000000,215.00000000,8.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",165,"178",N,M,H0001,GREY STRATA S25/WONDER ALUMINA S25,AFDK/AFDP,UK_8-,"64699",1.00000000,120.00000000,3.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",166,"179",N,M,H0001,CORE BLACK/BETTER SCARLET S23,A0QM/AETG,UK_9-,"19732",4.00000000,114.00000000,8.00000000,4.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",167,"180",N,M,H0001,COBALT BLUE F24/75%COBALT BLUE F24,AFAG/75%AFAG,UK_10-,"64986",4.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",168,"181",N,M,H0001,CARBON S18/25%CARBON S18,AAGG/25%AAGG,UK_12-,"64986",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",169,"182",N,W,H0001,VIOLET TONE F21/50%VIOLET TONE F21,AE68/50%AE68,UK_7,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",170,"183",N,M,H0001,LUCID LEMON F23/50%LUCID LEMON F23,AEWQ/50%AEWQ,UK_9,"64986",6.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",171,"185,303",N,M,H0001,CRYSTAL WHITE S16/90%CRYSTAL WHITE S16,A8L5/90%A8L5,UK_6-,"64986",3.00000000,66.00000000,3.00000000,3.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",172,"187",N,M,H0001,LUCID LEMON F23/50%LUCID LEMON F23,AEWQ/50%AEWQ,UK_10,"64986",4.00000000,42.00000000,2.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",173,"188,374",N,W,H0001,CORE BLACK/75%CORE BLACK,A0QM/75%A0QM,UK_6-,"64986",3.00000000,231.00000000,8.00000000,6.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",174,"189,233,428",N,M,H0001,FTWR WHITE,"01F7",UK_11,"64699",1.00000000,18.00000000,3.00000000,3.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",175,"190,305",N,M,H0001,HALO SILVER S21/75%HALO SILVER S21,ADW8/75%ADW8,UK_8,"64986",5.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",176,"191",N,W,H0001,TECH INDIGO S20,ADAM,UK_7-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",177,"192",N,M,H0001,"50%SILVER PEBBLE S23/CORE BLACK","50%AESW/A0QM",UK_5-,"59056",1.00000000,8.00000000,2.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",178,"193",N,M,H0001,LUCID RED S25/50%LUCID RED S25,AFDD/50%AFDD,UK_6-,"64986",3.00000000,7.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",179,"194",N,M,H0001,FTWR WHITE/75%FTWR WHITE,"01F7/75%01F7",UK_11-,"64986",2.00000000,81.00000000,3.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",180,"195",RIGHT FOO,W,H0001,CORE BLACK,A0QM,UK_8-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",181,"196",N,W,H0001,GREY FIVE F17/50%GREY FIVE F17,AA2V/50%AA2V,UK_6,"64986",3.00000000,4.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",182,"198",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_1-,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",183,"199",N,M,H0001,LUCID RED S25/50%LUCID RED S25,AFDD/50%AFDD,UK_5-,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",184,"200,387",N,W,H0001,FTWR WHITE,"01F7",UK_7,"64699",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",185,"201",N,W,H0001,GUM4,"26F0",UK_11-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",186,"202,263,376",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_6-,"37610",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",187,"203",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_12-K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",188,"204",N,M,H0001,CORE BLACK,A0QM,UK_9-,"64699",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",189,"206",N,W,H0001,"80%GUM 2","80%18F0",UK_9-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",190,"207",N,M,H0001,CORE BLACK,A0QM,UK_10,"55847",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",191,"208",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_13K,"06819",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",192,"210",N,M,H0001,CORE BLACK,A0QM,UK_7-,"55847",2.00000000,705.00000000,18.00000000,2.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",193,"211,324,361",N,M,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_7-,"66331",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",194,"212",N,W,H0001,CORE BLACK/75%CORE BLACK,A0QM/75%A0QM,UK_7,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",195,"213,510",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_13K,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",196,"214",N,M,H0001,CORE BLACK/FTWR WHITE,A0QM/01F7,UK_9,"66883",1.00000000,2450.00000000,62.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",197,"215,241",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_10K,"37610",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",198,"216",N,W,H0001,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,UK_8,"66331",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",199,"217",N,W,H0001,CORE BLACK/75%CORE BLACK,A0QM/75%A0QM,UK_6,"64986",3.00000000,34.00000000,1.00000000,1.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",200,"218",N,J,H0001,CORE BLACK,A0QM,UK_3-,"01969",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",201,"219",N,M,H0001,OFF WHITE,"08S1",UK_6-,"01746",5.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",202,"221,332",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_4-,"06819",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",203,"222",N,M,H0001,CORE BLACK,A0QM,UK_11,"55847",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",204,"224",N,M,H0001,"50%WARM VANILLA S25","50%AFDM",UK_4-,"18336",5.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",205,"226",N,K,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_3-,"06819",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",206,"227",N,M,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_12-,"66331",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",207,"228",N,M,H0001,CRYSTAL WHITE S16/90%CRYSTAL WHITE S16,A8L5/90%A8L5,UK_16,"64986",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",208,"229",N,W,H0001,"80%GUM 5","80%27F0",UK_6-,"05344",2.00000000,206.00000000,6.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",209,"230,381",N,M,H0001,FTWR WHITE,"01F7",UK_11-,"64699",1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",210,"231",N,W,H0001,CORE BLACK/FLASH AQUA F23,A0QM/AEWR,UK_5-,"61023",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
